"","x"
"531","ENSG00000163479"
"532","ENSG00000132376"
"533","ENSG00000152270"
"534","ENSG00000155254"
"535","ENSG00000175854"
"536","ENSG00000187608"
"537","ENSG00000141504"
"538","ENSG00000145901"
"539","ENSG00000041988"
"540","ENSG00000156508"
"541","ENSG00000084623"
"542","ENSG00000273841"
"543","ENSG00000100097"
"544","ENSG00000177674"
"545","ENSG00000159140"
"546","ENSG00000023734"
"547","ENSG00000279089"
"548","ENSG00000134308"
"549","ENSG00000244187"
"550","ENSG00000074071"
"551","ENSG00000137547"
"552","ENSG00000077782"
"553","ENSG00000173011"
"554","ENSG00000110074"
"555","ENSG00000000003"
"556","ENSG00000270149"
"557","ENSG00000125459"
"558","ENSG00000168765"
"559","ENSG00000160307"
"560","ENSG00000101856"
"561","ENSG00000257365"
"562","ENSG00000166311"
"563","ENSG00000143416"
"564","ENSG00000170270"
"565","ENSG00000141741"
"566","ENSG00000101474"
"567","ENSG00000204525"
"568","ENSG00000133398"
"569","ENSG00000132341"
"570","ENSG00000099622"
"571","ENSG00000149929"
"572","ENSG00000101888"
"573","ENSG00000131462"
"574","ENSG00000189171"
"575","ENSG00000147123"
"576","ENSG00000176444"
"577","ENSG00000123737"
"578","ENSG00000142669"
"579","ENSG00000113721"
"580","ENSG00000180879"
"581","ENSG00000214456"
"582","ENSG00000183801"
"583","ENSG00000271122"
"584","ENSG00000100201"
"585","ENSG00000101307"
"586","ENSG00000100448"
"587","ENSG00000126768"
"588","ENSG00000123933"
"589","ENSG00000179542"
"590","ENSG00000123415"
"591","ENSG00000213699"
"592","ENSG00000142937"
"593","ENSG00000168090"
"594","ENSG00000133317"
"595","ENSG00000171425"
"596","ENSG00000198355"
"597","ENSG00000167613"
"598","ENSG00000204568"
"599","ENSG00000124570"
"600","ENSG00000115540"
"601","ENSG00000055732"
"602","ENSG00000164294"
"603","ENSG00000126838"
"604","ENSG00000108262"
"605","ENSG00000174851"
"606","ENSG00000196531"
"607","ENSG00000185100"
"608","ENSG00000198668"
"609","ENSG00000176340"
"610","ENSG00000053438"
"611","ENSG00000131828"
"612","ENSG00000147955"
"613","ENSG00000213719"
"614","ENSG00000108528"
"615","ENSG00000140941"
"616","ENSG00000149534"
"617","ENSG00000116954"
"618","ENSG00000165502"
"619","ENSG00000142168"
"620","ENSG00000169976"
"621","ENSG00000111911"
"622","ENSG00000163931"
"623","ENSG00000134825"
"624","ENSG00000197982"
"625","ENSG00000101150"
"626","ENSG00000137100"
"627","ENSG00000235859"
"628","ENSG00000166165"
"629","ENSG00000117228"
"630","ENSG00000174697"
"631","ENSG00000132581"
"632","ENSG00000180228"
"633","ENSG00000101363"
"634","ENSG00000115484"
"635","ENSG00000064666"
"636","ENSG00000258545"
"637","ENSG00000072506"
"638","ENSG00000070404"
"639","ENSG00000088882"
"640","ENSG00000116690"
"641","ENSG00000071655"
"642","ENSG00000078668"
"643","ENSG00000122378"
"644","ENSG00000152518"
"645","ENSG00000147383"
"646","ENSG00000125871"
"647","ENSG00000166619"
"648","ENSG00000153303"
"649","ENSG00000099330"
"650","ENSG00000068001"
"651","ENSG00000172236"
"652","ENSG00000117448"
"653","ENSG00000148248"
"654","ENSG00000189266"
"655","ENSG00000139637"
"656","ENSG00000234456"
"657","ENSG00000160753"
"658","ENSG00000109099"
"659","ENSG00000170581"
"660","ENSG00000143575"
"661","ENSG00000248275"
"662","ENSG00000106591"
"663","ENSG00000156298"
"664","ENSG00000183624"
"665","ENSG00000104915"
"666","ENSG00000223865"
"667","ENSG00000172336"
"668","ENSG00000125991"
"669","ENSG00000145425"
"670","ENSG00000095321"
"671","ENSG00000166902"
"672","ENSG00000147872"
"673","ENSG00000140740"
"674","ENSG00000042286"
"675","ENSG00000182179"
"676","ENSG00000185721"
"677","ENSG00000042753"
"678","ENSG00000141295"
"679","ENSG00000100216"
"680","ENSG00000184113"
"681","ENSG00000171806"
"682","ENSG00000115380"
"683","ENSG00000107874"
"684","ENSG00000159792"
"685","ENSG00000196655"
"686","ENSG00000115602"
"687","ENSG00000101017"
"688","ENSG00000130811"
"689","ENSG00000167797"
"690","ENSG00000090776"
"691","ENSG00000235687"
"692","ENSG00000011600"
"693","ENSG00000164062"
"694","ENSG00000186480"
"695","ENSG00000275302"
"696","ENSG00000117308"
"697","ENSG00000163703"
"698","ENSG00000183048"
"699","ENSG00000173548"
"700","ENSG00000104904"
"701","ENSG00000131966"
"702","ENSG00000172115"
"703","ENSG00000149600"
"704","ENSG00000164011"
"705","ENSG00000114853"
"706","ENSG00000103876"
"707","ENSG00000134853"
"708","ENSG00000136783"
"709","ENSG00000105612"
"710","ENSG00000147852"
"711","ENSG00000168002"
"712","ENSG00000060971"
"713","ENSG00000186188"
"714","ENSG00000149483"
"715","ENSG00000099800"
"716","ENSG00000121691"
"717","ENSG00000108107"
"718","ENSG00000115226"
"719","ENSG00000152082"
"720","ENSG00000260314"
"721","ENSG00000066322"
"722","ENSG00000134153"
"723","ENSG00000115604"
"724","ENSG00000167112"
"725","ENSG00000235387"
"726","ENSG00000185813"
"727","ENSG00000118640"
"728","ENSG00000276855"
"729","ENSG00000128245"
"730","ENSG00000173369"
"731","ENSG00000173253"
"732","ENSG00000242485"
"733","ENSG00000229152"
"734","ENSG00000143878"
"735","ENSG00000166971"
"736","ENSG00000267934"
"737","ENSG00000105355"
"738","ENSG00000101246"
"739","ENSG00000160446"
"740","ENSG00000177731"
"741","ENSG00000164120"
"742","ENSG00000196196"
"743","ENSG00000151729"
"744","ENSG00000214046"
"745","ENSG00000186501"
"746","ENSG00000050130"
"747","ENSG00000170899"
"748","ENSG00000167740"
"749","ENSG00000265241"
"750","ENSG00000171453"
"751","ENSG00000211751"
"752","ENSG00000179918"
"753","ENSG00000168569"
"754","ENSG00000131149"
"755","ENSG00000253811"
"756","ENSG00000150753"
"757","ENSG00000133048"
"758","ENSG00000105404"
"759","ENSG00000168101"
"760","ENSG00000116649"
"761","ENSG00000112308"
"762","ENSG00000135617"
"763","ENSG00000138629"
"764","ENSG00000176971"
"765","ENSG00000137575"
"766","ENSG00000088833"
"767","ENSG00000130988"
"768","ENSG00000173267"
"769","ENSG00000161911"
"770","ENSG00000067829"
"771","ENSG00000173559"
"772","ENSG00000067225"
"773","ENSG00000135390"
"774","ENSG00000124762"
"775","ENSG00000183207"
"776","ENSG00000111775"
"777","ENSG00000172057"
"778","ENSG00000205542"
"779","ENSG00000057757"
"780","ENSG00000109906"
"781","ENSG00000196735"
"782","ENSG00000100138"
"783","ENSG00000033050"
"784","ENSG00000143224"
"785","ENSG00000100554"
"786","ENSG00000213722"
"787","ENSG00000143727"
"788","ENSG00000109519"
"789","ENSG00000183688"
"790","ENSG00000222057"
"791","ENSG00000183283"
"792","ENSG00000064726"
"793","ENSG00000178028"
"794","ENSG00000258441"
"795","ENSG00000184164"
"796","ENSG00000277734"
"797","ENSG00000095637"
"798","ENSG00000253755"
"799","ENSG00000027847"
"800","ENSG00000117592"
"801","ENSG00000213995"
"802","ENSG00000119632"
"803","ENSG00000105193"
"804","ENSG00000100413"
"805","ENSG00000010165"
"806","ENSG00000164405"
"807","ENSG00000104886"
"808","ENSG00000125945"
"809","ENSG00000143314"
"810","ENSG00000124562"
"811","ENSG00000126945"
"812","ENSG00000090659"
"813","ENSG00000145708"
"814","ENSG00000176485"
"815","ENSG00000168591"
"816","ENSG00000122694"
"817","ENSG00000100836"
"818","ENSG00000214174"
"819","ENSG00000134330"
"820","ENSG00000100528"
"821","ENSG00000135940"
"822","ENSG00000108639"
"823","ENSG00000182636"
"824","ENSG00000145337"
"825","ENSG00000188938"
"826","ENSG00000215717"
"827","ENSG00000182400"
"828","ENSG00000158571"
"829","ENSG00000111796"
"830","ENSG00000171791"
"831","ENSG00000197858"
"832","ENSG00000165678"
"833","ENSG00000153714"
"834","ENSG00000204370"
"835","ENSG00000164733"
"836","ENSG00000260565"
"837","ENSG00000157020"
"838","ENSG00000172724"
"839","ENSG00000122679"
"840","ENSG00000279608"
"841","ENSG00000122254"
"842","ENSG00000173786"
"843","ENSG00000107738"
"844","ENSG00000106077"
"845","ENSG00000162909"
"846","ENSG00000047634"
"847","ENSG00000135821"
"848","ENSG00000157379"
"849","ENSG00000112759"
"850","ENSG00000100612"
"851","ENSG00000115414"
"852","ENSG00000084207"
"853","ENSG00000203747"
"854","ENSG00000262454"
"855","ENSG00000136270"
"856","ENSG00000111361"
"857","ENSG00000100906"
"858","ENSG00000118523"
"859","ENSG00000037042"
"860","ENSG00000170892"
"861","ENSG00000156976"
"862","ENSG00000158864"
"863","ENSG00000108179"
"864","ENSG00000100567"
"865","ENSG00000134817"
"866","ENSG00000010322"
"867","ENSG00000279026"
"868","ENSG00000153130"
"869","ENSG00000122034"
"870","ENSG00000189367"
"871","ENSG00000124766"
"872","ENSG00000106628"
"873","ENSG00000125868"
"874","ENSG00000146701"
"875","ENSG00000130764"
"876","ENSG00000134590"
"877","ENSG00000174151"
"878","ENSG00000125148"
"879","ENSG00000143621"
"880","ENSG00000124357"
"881","ENSG00000177951"
"882","ENSG00000117143"
"883","ENSG00000187514"
"884","ENSG00000135446"
"885","ENSG00000143742"
"886","ENSG00000130770"
"887","ENSG00000089820"
"888","ENSG00000197620"
"889","ENSG00000198546"
"890","ENSG00000120805"
"891","ENSG00000026025"
"892","ENSG00000140391"
"893","ENSG00000105171"
"894","ENSG00000152804"
"895","ENSG00000136159"
"896","ENSG00000179958"
"897","ENSG00000124588"
"898","ENSG00000105618"
"899","ENSG00000167716"
"900","ENSG00000165457"
"901","ENSG00000067445"
"902","ENSG00000164050"
"903","ENSG00000168291"
"904","ENSG00000167468"
"905","ENSG00000179523"
"906","ENSG00000126561"
"907","ENSG00000131069"
"908","ENSG00000126062"
"909","ENSG00000168374"
"910","ENSG00000122026"
"911","ENSG00000053371"
"912","ENSG00000213672"
"913","ENSG00000182899"
"914","ENSG00000111652"
"915","ENSG00000220205"
"916","ENSG00000121310"
"917","ENSG00000039650"
"918","ENSG00000205352"
"919","ENSG00000137776"
"920","ENSG00000179091"
"921","ENSG00000104164"
"922","ENSG00000144579"
"923","ENSG00000063854"
"924","ENSG00000164961"
"925","ENSG00000244038"
"926","ENSG00000149792"
"927","ENSG00000275119"
"928","ENSG00000100211"
"929","ENSG00000188783"
"930","ENSG00000138207"
"931","ENSG00000166741"
"932","ENSG00000141959"
"933","ENSG00000106733"
"934","ENSG00000185515"
"935","ENSG00000129197"
"936","ENSG00000103496"
"937","ENSG00000160113"
"938","ENSG00000162976"
"939","ENSG00000120049"
"940","ENSG00000168906"
"941","ENSG00000164332"
"942","ENSG00000079257"
"943","ENSG00000130821"
"944","ENSG00000159147"
"945","ENSG00000170653"
"946","ENSG00000110002"
"947","ENSG00000100034"
"948","ENSG00000108828"
"949","ENSG00000118816"
"950","ENSG00000134049"
"951","ENSG00000090013"
"952","ENSG00000120705"
"953","ENSG00000171222"
"954","ENSG00000136279"
"955","ENSG00000105676"
"956","ENSG00000249825"
"957","ENSG00000173915"
"958","ENSG00000165943"
"959","ENSG00000081760"
"960","ENSG00000100083"
"961","ENSG00000136463"
"962","ENSG00000086848"
"963","ENSG00000144043"
"964","ENSG00000170385"
"965","ENSG00000171056"
"966","ENSG00000166123"
"967","ENSG00000101945"
"968","ENSG00000112473"
"969","ENSG00000129473"
"970","ENSG00000086504"
"971","ENSG00000117305"
"972","ENSG00000116521"
"973","ENSG00000182518"
"974","ENSG00000068079"
"975","ENSG00000115524"
"976","ENSG00000224397"
"977","ENSG00000165898"
"978","ENSG00000147813"
"979","ENSG00000142173"
"980","ENSG00000106608"
"981","ENSG00000243836"
"982","ENSG00000132485"
"983","ENSG00000013306"
"984","ENSG00000149547"
"985","ENSG00000092010"
"986","ENSG00000214160"
"987","ENSG00000167113"
"988","ENSG00000228223"
"989","ENSG00000113328"
"990","ENSG00000127445"
"991","ENSG00000163930"
"992","ENSG00000104679"
"993","ENSG00000154328"
"994","ENSG00000099817"
"995","ENSG00000106484"
"996","ENSG00000102317"
"997","ENSG00000105223"
"998","ENSG00000198612"
"999","ENSG00000225663"
"1000","ENSG00000120438"
"1001","ENSG00000148334"
"1002","ENSG00000063241"
"1003","ENSG00000178802"
"1004","ENSG00000165283"
"1005","ENSG00000163069"
"1006","ENSG00000165949"
"1007","ENSG00000182809"
"1008","ENSG00000173432"
"1009","ENSG00000137824"
"1010","ENSG00000117461"
"1011","ENSG00000228073"
"1012","ENSG00000172428"
"1013","ENSG00000132589"
"1014","ENSG00000157895"
"1015","ENSG00000136240"
"1016","ENSG00000171314"
"1017","ENSG00000116016"
"1018","ENSG00000164638"
"1019","ENSG00000154736"
"1020","ENSG00000175376"
"1021","ENSG00000243335"
"1022","ENSG00000231035"
"1023","ENSG00000148803"
"1024","ENSG00000092094"
"1025","ENSG00000123146"
"1026","ENSG00000089248"
"1027","ENSG00000088205"
"1028","ENSG00000163399"
"1029","ENSG00000105135"
"1030","ENSG00000169733"
"1031","ENSG00000144713"
"1032","ENSG00000130177"
"1033","ENSG00000232859"
"1034","ENSG00000254999"
"1035","ENSG00000138413"
"1036","ENSG00000134574"
"1037","ENSG00000070610"
"1038","ENSG00000259623"
"1039","ENSG00000152433"
"1040","ENSG00000072274"
"1041","ENSG00000119185"
"1042","ENSG00000160688"
"1043","ENSG00000132170"
"1044","ENSG00000197208"
"1045","ENSG00000165280"
"1046","ENSG00000100938"
"1047","ENSG00000116688"
"1048","ENSG00000075826"
"1049","ENSG00000147789"
"1050","ENSG00000166147"
"1051","ENSG00000154265"
"1052","ENSG00000105426"
"1053","ENSG00000154133"
"1054","ENSG00000152583"
"1055","ENSG00000105732"
"1056","ENSG00000082516"
"1057","ENSG00000012660"
"1058","ENSG00000184508"
"1059","ENSG00000183155"
"1060","ENSG00000279117"
"1061","ENSG00000196465"
"1062","ENSG00000124444"
"1063","ENSG00000159352"
"1064","ENSG00000107338"
"1065","ENSG00000119559"
"1066","ENSG00000105974"
"1067","ENSG00000137414"
"1068","ENSG00000230333"
"1069","ENSG00000144591"
"1070","ENSG00000136238"
