"","x"
"414","ENSG00000136908"
"415","ENSG00000158042"
"416","ENSG00000168899"
"417","ENSG00000129235"
"418","ENSG00000006007"
"419","ENSG00000175197"
"420","ENSG00000141504"
"421","ENSG00000178381"
"422","ENSG00000155287"
"423","ENSG00000183801"
"424","ENSG00000163479"
"425","ENSG00000164330"
"426","ENSG00000138207"
"427","ENSG00000120333"
"428","ENSG00000120509"
"429","ENSG00000183207"
"430","ENSG00000129538"
"431","ENSG00000162244"
"432","ENSG00000155463"
"433","ENSG00000154198"
"434","ENSG00000166913"
"435","ENSG00000116857"
"436","ENSG00000131771"
"437","ENSG00000174059"
"438","ENSG00000169689"
"439","ENSG00000197324"
"440","ENSG00000224032"
"441","ENSG00000278845"
"442","ENSG00000099622"
"443","ENSG00000203950"
"444","ENSG00000147123"
"445","ENSG00000102317"
"446","ENSG00000204592"
"447","ENSG00000168765"
"448","ENSG00000135821"
"449","ENSG00000183624"
"450","ENSG00000132341"
"451","ENSG00000130811"
"452","ENSG00000197747"
"453","ENSG00000185885"
"454","ENSG00000164405"
"455","ENSG00000116871"
"456","ENSG00000033050"
"457","ENSG00000160209"
"458","ENSG00000100211"
"459","ENSG00000105372"
"460","ENSG00000101474"
"461","ENSG00000166311"
"462","ENSG00000122378"
"463","ENSG00000196196"
"464","ENSG00000144713"
"465","ENSG00000169692"
"466","ENSG00000101335"
"467","ENSG00000178980"
"468","ENSG00000244187"
"469","ENSG00000213722"
"470","ENSG00000099330"
"471","ENSG00000159479"
"472","ENSG00000118523"
"473","ENSG00000123933"
"474","ENSG00000214114"
"475","ENSG00000149534"
"476","ENSG00000178307"
"477","ENSG00000147684"
"478","ENSG00000167772"
"479","ENSG00000167815"
"480","ENSG00000106484"
"481","ENSG00000213619"
"482","ENSG00000143621"
"483","ENSG00000087191"
"484","ENSG00000167272"
"485","ENSG00000174697"
"486","ENSG00000161016"
"487","ENSG00000149806"
"488","ENSG00000204386"
"489","ENSG00000167613"
"490","ENSG00000204628"
"491","ENSG00000177731"
"492","ENSG00000169976"
"493","ENSG00000132386"
"494","ENSG00000196998"
"495","ENSG00000241839"
"496","ENSG00000164967"
"497","ENSG00000100138"
"498","ENSG00000171227"
"499","ENSG00000125691"
"500","ENSG00000223865"
"501","ENSG00000139531"
"502","ENSG00000206503"
"503","ENSG00000135390"
"504","ENSG00000221983"
"505","ENSG00000168256"
"506","ENSG00000125835"
"507","ENSG00000105193"
"508","ENSG00000124570"
"509","ENSG00000101150"
"510","ENSG00000158869"
"511","ENSG00000156298"
"512","ENSG00000189266"
"513","ENSG00000140287"
"514","ENSG00000186188"
"515","ENSG00000158710"
"516","ENSG00000228223"
"517","ENSG00000108654"
"518","ENSG00000159069"
"519","ENSG00000179115"
"520","ENSG00000117592"
"521","ENSG00000175166"
"522","ENSG00000108528"
"523","ENSG00000213625"
"524","ENSG00000124193"
"525","ENSG00000129559"
"526","ENSG00000152518"
"527","ENSG00000165283"
"528","ENSG00000154096"
"529","ENSG00000115380"
"530","ENSG00000126247"
"531","ENSG00000148248"
"532","ENSG00000234608"
"533","ENSG00000115694"
"534","ENSG00000178802"
"535","ENSG00000078668"
"536","ENSG00000140941"
"537","ENSG00000168002"
"538","ENSG00000115758"
"539","ENSG00000273841"
"540","ENSG00000106591"
"541","ENSG00000115484"
"542","ENSG00000137100"
"543","ENSG00000176101"
"544","ENSG00000101017"
"545","ENSG00000185909"
"546","ENSG00000100300"
"547","ENSG00000132688"
"548","ENSG00000171135"
"549","ENSG00000171314"
"550","ENSG00000100410"
"551","ENSG00000185201"
"552","ENSG00000135624"
"553","ENSG00000168066"
"554","ENSG00000113721"
"555","ENSG00000279204"
"556","ENSG00000086504"
"557","ENSG00000214174"
"558","ENSG00000178035"
"559","ENSG00000126561"
"560","ENSG00000147852"
"561","ENSG00000117305"
"562","ENSG00000213699"
"563","ENSG00000143612"
"564","ENSG00000205542"
"565","ENSG00000117984"
"566","ENSG00000137720"
"567","ENSG00000108828"
"568","ENSG00000110700"
"569","ENSG00000140365"
"570","ENSG00000042286"
"571","ENSG00000007255"
"572","ENSG00000102575"
"573","ENSG00000205937"
"574","ENSG00000151729"
"575","ENSG00000145425"
"576","ENSG00000204619"
"577","ENSG00000013306"
"578","ENSG00000114115"
"579","ENSG00000149357"
"580","ENSG00000116685"
"581","ENSG00000092010"
"582","ENSG00000134201"
"583","ENSG00000141295"
"584","ENSG00000173660"
"585","ENSG00000154263"
"586","ENSG00000159140"
"587","ENSG00000178028"
"588","ENSG00000170899"
"589","ENSG00000251322"
"590","ENSG00000071859"
"591","ENSG00000126768"
"592","ENSG00000182578"
"593","ENSG00000131149"
"594","ENSG00000176903"
"595","ENSG00000149743"
"596","ENSG00000214706"
"597","ENSG00000133048"
"598","ENSG00000149929"
"599","ENSG00000204228"
"600","ENSG00000067225"
"601","ENSG00000178927"
"602","ENSG00000136240"
"603","ENSG00000265354"
"604","ENSG00000140740"
"605","ENSG00000271122"
"606","ENSG00000133317"
"607","ENSG00000211895"
"608","ENSG00000004799"
"609","ENSG00000178096"
"610","ENSG00000113328"
"611","ENSG00000267534"
"612","ENSG00000111481"
"613","ENSG00000186480"
"614","ENSG00000224397"
"615","ENSG00000141698"
"616","ENSG00000141741"
"617","ENSG00000135424"
"618","ENSG00000196683"
"619","ENSG00000198467"
"620","ENSG00000100938"
"621","ENSG00000136247"
"622","ENSG00000134825"
"623","ENSG00000253352"
"624","ENSG00000109519"
"625","ENSG00000172236"
"626","ENSG00000125868"
"627","ENSG00000105404"
"628","ENSG00000008988"
"629","ENSG00000072506"
"630","ENSG00000258441"
"631","ENSG00000106245"
"632","ENSG00000173369"
"633","ENSG00000166508"
"634","ENSG00000116690"
"635","ENSG00000197879"
"636","ENSG00000095637"
"637","ENSG00000213593"
"638","ENSG00000134853"
"639","ENSG00000167333"
"640","ENSG00000182180"
"641","ENSG00000103034"
"642","ENSG00000130731"
"643","ENSG00000183258"
"644","ENSG00000198502"
"645","ENSG00000130818"
"646","ENSG00000198843"
"647","ENSG00000106809"
"648","ENSG00000135617"
"649","ENSG00000173207"
"650","ENSG00000167588"
"651","ENSG00000242574"
"652","ENSG00000145708"
"653","ENSG00000089248"
"654","ENSG00000126945"
"655","ENSG00000063046"
"656","ENSG00000122694"
"657","ENSG00000184076"
"658","ENSG00000263155"
"659","ENSG00000106733"
"660","ENSG00000171992"
"661","ENSG00000107738"
"662","ENSG00000100528"
"663","ENSG00000135940"
"664","ENSG00000090659"
"665","ENSG00000140105"
"666","ENSG00000101220"
"667","ENSG00000130717"
"668","ENSG00000177700"
"669","ENSG00000214160"
"670","ENSG00000258289"
"671","ENSG00000111775"
"672","ENSG00000111652"
"673","ENSG00000115524"
"674","ENSG00000181481"
"675","ENSG00000135452"
"676","ENSG00000124659"
"677","ENSG00000123146"
"678","ENSG00000163131"
"679","ENSG00000115211"
"680","ENSG00000166147"
"681","ENSG00000000938"
"682","ENSG00000122971"
"683","ENSG00000159199"
"684","ENSG00000229920"
"685","ENSG00000144043"
"686","ENSG00000164056"
"687","ENSG00000162909"
"688","ENSG00000198612"
"689","ENSG00000268205"
"690","ENSG00000062282"
"691","ENSG00000113068"
"692","ENSG00000221963"
"693","ENSG00000185000"
"694","ENSG00000084623"
"695","ENSG00000166033"
"696","ENSG00000037042"
"697","ENSG00000183688"
"698","ENSG00000139546"
"699","ENSG00000100216"
"700","ENSG00000103496"
"701","ENSG00000234745"
"702","ENSG00000100348"
"703","ENSG00000262179"
"704","ENSG00000115523"
"705","ENSG00000166189"
"706","ENSG00000128311"
"707","ENSG00000147804"
"708","ENSG00000166169"
"709","ENSG00000165526"
"710","ENSG00000122034"
"711","ENSG00000109971"
"712","ENSG00000068001"
"713","ENSG00000184840"
"714","ENSG00000213462"
"715","ENSG00000197958"
"716","ENSG00000197858"
"717","ENSG00000174151"
"718","ENSG00000143196"
"719","ENSG00000125945"
"720","ENSG00000163516"
"721","ENSG00000092445"
"722","ENSG00000134248"
"723","ENSG00000160688"
"724","ENSG00000086289"
"725","ENSG00000071655"
"726","ENSG00000166902"
"727","ENSG00000134575"
"728","ENSG00000177674"
"729","ENSG00000143742"
"730","ENSG00000084207"
"731","ENSG00000136710"
"732","ENSG00000111361"
"733","ENSG00000048544"
"734","ENSG00000110719"
"735","ENSG00000136270"
"736","ENSG00000090013"
"737","ENSG00000168569"
"738","ENSG00000140391"
"739","ENSG00000135447"
"740","ENSG00000110074"
"741","ENSG00000105618"
"742","ENSG00000144579"
"743","ENSG00000165457"
"744","ENSG00000173786"
"745","ENSG00000063241"
"746","ENSG00000172269"
"747","ENSG00000235687"
"748","ENSG00000115361"
"749","ENSG00000164294"
"750","ENSG00000170145"
"751","ENSG00000130177"
"752","ENSG00000155252"
"753","ENSG00000116586"
"754","ENSG00000131462"
"755","ENSG00000110324"
"756","ENSG00000166946"
"757","ENSG00000174775"
"758","ENSG00000266412"
"759","ENSG00000122026"
"760","ENSG00000053371"
"761","ENSG00000137575"
"762","ENSG00000136463"
"763","ENSG00000182899"
"764","ENSG00000160753"
"765","ENSG00000014641"
"766","ENSG00000022267"
"767","ENSG00000148334"
"768","ENSG00000104904"
"769","ENSG00000136159"
"770","ENSG00000160818"
"771","ENSG00000064666"
"772","ENSG00000169567"
"773","ENSG00000169908"
"774","ENSG00000035141"
"775","ENSG00000006625"
"776","ENSG00000161649"
"777","ENSG00000126062"
"778","ENSG00000139637"
"779","ENSG00000244038"
"780","ENSG00000275119"
"781","ENSG00000143110"
"782","ENSG00000004142"
"783","ENSG00000158292"
"784","ENSG00000198848"
"785","ENSG00000121966"
"786","ENSG00000167315"
"787","ENSG00000151500"
"788","ENSG00000162976"
"789","ENSG00000258545"
"790","ENSG00000170653"
"791","ENSG00000148926"
"792","ENSG00000095321"
"793","ENSG00000235387"
"794","ENSG00000205352"
"795","ENSG00000177951"
"796","ENSG00000171453"
"797","ENSG00000186298"
"798","ENSG00000105135"
"799","ENSG00000196139"
"800","ENSG00000185515"
"801","ENSG00000121851"
"802","ENSG00000172336"
"803","ENSG00000164054"
"804","ENSG00000131069"
"805","ENSG00000111348"
"806","ENSG00000140749"
"807","ENSG00000174348"
"808","ENSG00000138629"
"809","ENSG00000162734"
"810","ENSG00000166741"
"811","ENSG00000198755"
"812","ENSG00000169242"
"813","ENSG00000112473"
"814","ENSG00000185721"
"815","ENSG00000146066"
"816","ENSG00000042445"
"817","ENSG00000110321"
"818","ENSG00000165898"
"819","ENSG00000188938"
"820","ENSG00000179091"
"821","ENSG00000130821"
"822","ENSG00000178252"
"823","ENSG00000108179"
"824","ENSG00000110711"
"825","ENSG00000161281"
"826","ENSG00000163931"
"827","ENSG00000111653"
"828","ENSG00000104886"
"829","ENSG00000150753"
"830","ENSG00000167797"
"831","ENSG00000224822"
"832","ENSG00000111639"
"833","ENSG00000117450"
"834","ENSG00000108639"
"835","ENSG00000105612"
"836","ENSG00000114388"
"837","ENSG00000115073"
"838","ENSG00000108788"
"839","ENSG00000182809"
"840","ENSG00000108829"
"841","ENSG00000166228"
"842","ENSG00000117228"
"843","ENSG00000142657"
"844","ENSG00000173548"
"845","ENSG00000173546"
"846","ENSG00000228073"
"847","ENSG00000275074"
"848","ENSG00000104823"
"849","ENSG00000123342"
"850","ENSG00000104343"
"851","ENSG00000168906"
"852","ENSG00000111678"
"853","ENSG00000102359"
"854","ENSG00000164638"
"855","ENSG00000133110"
"856","ENSG00000071553"
"857","ENSG00000174804"
"858","ENSG00000154736"
"859","ENSG00000106628"
"860","ENSG00000124491"
"861","ENSG00000143727"
"862","ENSG00000084652"
"863","ENSG00000156261"
"864","ENSG00000005194"
"865","ENSG00000117461"
"866","ENSG00000179542"
"867","ENSG00000114395"
"868","ENSG00000271858"
"869","ENSG00000178896"
"870","ENSG00000168004"
"871","ENSG00000091483"
"872","ENSG00000187608"
"873","ENSG00000102287"
"874","ENSG00000171425"
"875","ENSG00000149591"
"876","ENSG00000166165"
"877","ENSG00000167671"
"878","ENSG00000163399"
"879","ENSG00000149547"
"880","ENSG00000137507"
"881","ENSG00000143314"
"882","ENSG00000204311"
"883","ENSG00000132274"
"884","ENSG00000108960"
"885","ENSG00000182253"
"886","ENSG00000105281"
"887","ENSG00000114405"
"888","ENSG00000222057"
"889","ENSG00000152433"
"890","ENSG00000253811"
"891","ENSG00000136450"
"892","ENSG00000132170"
"893","ENSG00000185803"
"894","ENSG00000117143"
"895","ENSG00000175376"
"896","ENSG00000154265"
"897","ENSG00000214046"
"898","ENSG00000214253"
"899","ENSG00000105426"
"900","ENSG00000177854"
"901","ENSG00000143753"
"902","ENSG00000142864"
"903","ENSG00000100483"
"904","ENSG00000170291"
"905","ENSG00000140553"
"906","ENSG00000107960"
"907","ENSG00000070540"
"908","ENSG00000183828"
"909","ENSG00000173267"
"910","ENSG00000176485"
"911","ENSG00000122679"
"912","ENSG00000096384"
"913","ENSG00000213523"
"914","ENSG00000248275"
"915","ENSG00000164733"
"916","ENSG00000163703"
"917","ENSG00000144591"
"918","ENSG00000135917"
"919","ENSG00000136238"
"920","ENSG00000088827"
"921","ENSG00000250479"
"922","ENSG00000140264"
"923","ENSG00000121073"
"924","ENSG00000120948"
"925","ENSG00000120438"
"926","ENSG00000186577"
"927","ENSG00000066322"
"928","ENSG00000165943"
"929","ENSG00000100564"
"930","ENSG00000105856"
"931","ENSG00000137168"
"932","ENSG00000134590"
"933","ENSG00000162444"
"934","ENSG00000157593"
"935","ENSG00000134375"
"936","ENSG00000101945"
"937","ENSG00000147576"
"938","ENSG00000060971"
"939","ENSG00000204256"
"940","ENSG00000147471"
"941","ENSG00000112769"
"942","ENSG00000167778"
"943","ENSG00000167113"
"944","ENSG00000156873"
"945","ENSG00000146834"
"946","ENSG00000172331"
"947","ENSG00000163710"
"948","ENSG00000246705"
"949","ENSG00000169733"
"950","ENSG00000132286"
"951","ENSG00000055950"
"952","ENSG00000107372"
"953","ENSG00000126458"
"954","ENSG00000136167"
"955","ENSG00000124562"
"956","ENSG00000165678"
"957","ENSG00000134108"
"958","ENSG00000206567"
"959","ENSG00000088205"
"960","ENSG00000107798"
"961","ENSG00000120705"
"962","ENSG00000265241"
"963","ENSG00000102409"
"964","ENSG00000069535"
"965","ENSG00000124766"
"966","ENSG00000152926"
"967","ENSG00000126698"
"968","ENSG00000164062"
"969","ENSG00000152583"
"970","ENSG00000109906"
"971","ENSG00000171298"
"972","ENSG00000144048"
"973","ENSG00000178057"
"974","ENSG00000101888"
"975","ENSG00000170759"
"976","ENSG00000172301"
"977","ENSG00000188488"
"978","ENSG00000125652"
"979","ENSG00000147383"
"980","ENSG00000131238"
"981","ENSG00000170881"
"982","ENSG00000137154"
"983","ENSG00000162065"
"984","ENSG00000230989"
"985","ENSG00000147872"
"986","ENSG00000089050"
"987","ENSG00000133935"
"988","ENSG00000118816"
"989","ENSG00000117448"
"990","ENSG00000012660"
"991","ENSG00000100413"
"992","ENSG00000105058"
"993","ENSG00000106153"
"994","ENSG00000178163"
"995","ENSG00000152234"
"996","ENSG00000100554"
"997","ENSG00000069509"
"998","ENSG00000172428"
"999","ENSG00000173141"
"1000","ENSG00000067829"
"1001","ENSG00000233622"
"1002","ENSG00000187514"
"1003","ENSG00000123416"
"1004","ENSG00000173915"
"1005","ENSG00000160255"
"1006","ENSG00000279026"
"1007","ENSG00000137070"
"1008","ENSG00000121858"
"1009","ENSG00000105732"
"1010","ENSG00000179523"
"1011","ENSG00000166971"
"1012","ENSG00000114391"
"1013","ENSG00000074800"
"1014","ENSG00000135535"
"1015","ENSG00000118971"
"1016","ENSG00000111077"
"1017","ENSG00000242485"
"1018","ENSG00000068028"
"1019","ENSG00000164050"
"1020","ENSG00000177706"
"1021","ENSG00000090612"
"1022","ENSG00000166340"
"1023","ENSG00000142676"
"1024","ENSG00000225663"
"1025","ENSG00000150433"
"1026","ENSG00000131791"
"1027","ENSG00000171928"
"1028","ENSG00000160932"
"1029","ENSG00000099260"
"1030","ENSG00000057757"
"1031","ENSG00000116288"
"1032","ENSG00000164924"
"1033","ENSG00000130770"
"1034","ENSG00000135924"
"1035","ENSG00000184508"
"1036","ENSG00000160785"
"1037","ENSG00000257151"
"1038","ENSG00000171130"
"1039","ENSG00000270959"
"1040","ENSG00000134330"
"1041","ENSG00000105483"
"1042","ENSG00000156171"
"1043","ENSG00000147162"
"1044","ENSG00000172409"
"1045","ENSG00000104870"
"1046","ENSG00000171056"
"1047","ENSG00000110060"
"1048","ENSG00000160972"
"1049","ENSG00000183155"
"1050","ENSG00000160113"
"1051","ENSG00000138039"
"1052","ENSG00000198546"
"1053","ENSG00000100823"
"1054","ENSG00000147140"
"1055","ENSG00000149792"
"1056","ENSG00000108551"
"1057","ENSG00000165271"
"1058","ENSG00000182093"
"1059","ENSG00000165389"
"1060","ENSG00000143224"
"1061","ENSG00000111275"
"1062","ENSG00000232859"
"1063","ENSG00000176971"
"1064","ENSG00000185818"
"1065","ENSG00000168101"
"1066","ENSG00000146109"
"1067","ENSG00000179820"
"1068","ENSG00000013561"
"1069","ENSG00000116521"
"1070","ENSG00000027847"
