"","x"
"374","ENSG00000101911"
"375","ENSG00000092445"
"376","ENSG00000164244"
"377","ENSG00000159228"
"378","ENSG00000272054"
"379","ENSG00000148926"
"380","ENSG00000172366"
"381","ENSG00000166169"
"382","ENSG00000185432"
"383","ENSG00000179933"
"384","ENSG00000140365"
"385","ENSG00000110442"
"386","ENSG00000152684"
"387","ENSG00000211445"
"388","ENSG00000171992"
"389","ENSG00000103507"
"390","ENSG00000101955"
"391","ENSG00000142669"
"392","ENSG00000185818"
"393","ENSG00000197982"
"394","ENSG00000198502"
"395","ENSG00000091640"
"396","ENSG00000278931"
"397","ENSG00000169964"
"398","ENSG00000146066"
"399","ENSG00000100100"
"400","ENSG00000173193"
"401","ENSG00000100711"
"402","ENSG00000111639"
"403","ENSG00000106565"
"404","ENSG00000149131"
"405","ENSG00000131828"
"406","ENSG00000104915"
"407","ENSG00000105618"
"408","ENSG00000204311"
"409","ENSG00000170323"
"410","ENSG00000196381"
"411","ENSG00000118523"
"412","ENSG00000204070"
"413","ENSG00000174775"
"414","ENSG00000184887"
"415","ENSG00000185608"
"416","ENSG00000149483"
"417","ENSG00000197629"
"418","ENSG00000263155"
"419","ENSG00000184857"
"420","ENSG00000143110"
"421","ENSG00000119328"
"422","ENSG00000137409"
"423","ENSG00000143612"
"424","ENSG00000162734"
"425","ENSG00000111678"
"426","ENSG00000143761"
"427","ENSG00000160818"
"428","ENSG00000151552"
"429","ENSG00000137547"
"430","ENSG00000167468"
"431","ENSG00000169242"
"432","ENSG00000128581"
"433","ENSG00000184990"
"434","ENSG00000196290"
"435","ENSG00000171862"
"436","ENSG00000138207"
"437","ENSG00000182180"
"438","ENSG00000137965"
"439","ENSG00000213722"
"440","ENSG00000110955"
"441","ENSG00000101843"
"442","ENSG00000196262"
"443","ENSG00000121851"
"444","ENSG00000000003"
"445","ENSG00000101220"
"446","ENSG00000105193"
"447","ENSG00000100129"
"448","ENSG00000149591"
"449","ENSG00000100138"
"450","ENSG00000166595"
"451","ENSG00000107562"
"452","ENSG00000143369"
"453","ENSG00000183624"
"454","ENSG00000159176"
"455","ENSG00000076706"
"456","ENSG00000135624"
"457","ENSG00000135535"
"458","ENSG00000135390"
"459","ENSG00000103202"
"460","ENSG00000063046"
"461","ENSG00000161649"
"462","ENSG00000156587"
"463","ENSG00000159377"
"464","ENSG00000196230"
"465","ENSG00000175197"
"466","ENSG00000188229"
"467","ENSG00000172500"
"468","ENSG00000106484"
"469","ENSG00000113068"
"470","ENSG00000089248"
"471","ENSG00000141504"
"472","ENSG00000169908"
"473","ENSG00000148180"
"474","ENSG00000099330"
"475","ENSG00000196139"
"476","ENSG00000160131"
"477","ENSG00000162909"
"478","ENSG00000189129"
"479","ENSG00000129538"
"480","ENSG00000123146"
"481","ENSG00000165775"
"482","ENSG00000198612"
"483","ENSG00000164081"
"484","ENSG00000137496"
"485","ENSG00000169714"
"486","ENSG00000169021"
"487","ENSG00000277972"
"488","ENSG00000213593"
"489","ENSG00000197746"
"490","ENSG00000106733"
"491","ENSG00000140988"
"492","ENSG00000187189"
"493","ENSG00000117592"
"494","ENSG00000175899"
"495","ENSG00000170759"
"496","ENSG00000204308"
"497","ENSG00000167315"
"498","ENSG00000135821"
"499","ENSG00000177731"
"500","ENSG00000158042"
"501","ENSG00000165526"
"502","ENSG00000115275"
"503","ENSG00000178802"
"504","ENSG00000099377"
"505","ENSG00000214174"
"506","ENSG00000114771"
"507","ENSG00000136888"
"508","ENSG00000070761"
"509","ENSG00000115380"
"510","ENSG00000267534"
"511","ENSG00000164405"
"512","ENSG00000178252"
"513","ENSG00000100211"
"514","ENSG00000170540"
"515","ENSG00000126561"
"516","ENSG00000168765"
"517","ENSG00000132475"
"518","ENSG00000101474"
"519","ENSG00000166311"
"520","ENSG00000106245"
"521","ENSG00000091986"
"522","ENSG00000166197"
"523","ENSG00000181481"
"524","ENSG00000142156"
"525","ENSG00000130962"
"526","ENSG00000107821"
"527","ENSG00000230551"
"528","ENSG00000149809"
"529","ENSG00000164330"
"530","ENSG00000156411"
"531","ENSG00000130731"
"532","ENSG00000156298"
"533","ENSG00000158526"
"534","ENSG00000132471"
"535","ENSG00000172301"
"536","ENSG00000174748"
"537","ENSG00000168002"
"538","ENSG00000137124"
"539","ENSG00000166265"
"540","ENSG00000133027"
"541","ENSG00000142751"
"542","ENSG00000063241"
"543","ENSG00000172331"
"544","ENSG00000223865"
"545","ENSG00000149357"
"546","ENSG00000139546"
"547","ENSG00000214022"
"548","ENSG00000181929"
"549","ENSG00000157833"
"550","ENSG00000155463"
"551","ENSG00000175826"
"552","ENSG00000154945"
"553","ENSG00000186918"
"554","ENSG00000167986"
"555","ENSG00000145916"
"556","ENSG00000115524"
"557","ENSG00000030582"
"558","ENSG00000166913"
"559","ENSG00000152234"
"560","ENSG00000136710"
"561","ENSG00000103496"
"562","ENSG00000214253"
"563","ENSG00000165410"
"564","ENSG00000150779"
"565","ENSG00000104870"
"566","ENSG00000129009"
"567","ENSG00000100219"
"568","ENSG00000101150"
"569","ENSG00000167985"
"570","ENSG00000257151"
"571","ENSG00000136463"
"572","ENSG00000184983"
"573","ENSG00000186188"
"574","ENSG00000188488"
"575","ENSG00000204386"
"576","ENSG00000257698"
"577","ENSG00000141560"
"578","ENSG00000167613"
"579","ENSG00000173674"
"580","ENSG00000102871"
"581","ENSG00000053371"
"582","ENSG00000178028"
"583","ENSG00000197958"
"584","ENSG00000119729"
"585","ENSG00000111481"
"586","ENSG00000116871"
"587","ENSG00000165283"
"588","ENSG00000127824"
"589","ENSG00000170855"
"590","ENSG00000152904"
"591","ENSG00000014919"
"592","ENSG00000117640"
"593","ENSG00000128699"
"594","ENSG00000108826"
"595","ENSG00000273841"
"596","ENSG00000253352"
"597","ENSG00000107738"
"598","ENSG00000115211"
"599","ENSG00000170291"
"600","ENSG00000125868"
"601","ENSG00000123728"
"602","ENSG00000180785"
"603","ENSG00000071859"
"604","ENSG00000189266"
"605","ENSG00000135404"
"606","ENSG00000117410"
"607","ENSG00000131043"
"608","ENSG00000084234"
"609","ENSG00000224032"
"610","ENSG00000108960"
"611","ENSG00000124570"
"612","ENSG00000134324"
"613","ENSG00000156873"
"614","ENSG00000138794"
"615","ENSG00000136908"
"616","ENSG00000242259"
"617","ENSG00000082996"
"618","ENSG00000203950"
"619","ENSG00000115268"
"620","ENSG00000176903"
"621","ENSG00000148248"
"622","ENSG00000100300"
"623","ENSG00000135929"
"624","ENSG00000170881"
"625","ENSG00000171860"
"626","ENSG00000147852"
"627","ENSG00000178567"
"628","ENSG00000133392"
"629","ENSG00000140941"
"630","ENSG00000108828"
"631","ENSG00000169976"
"632","ENSG00000130844"
"633","ENSG00000116586"
"634","ENSG00000173039"
"635","ENSG00000230989"
"636","ENSG00000106591"
"637","ENSG00000122694"
"638","ENSG00000134248"
"639","ENSG00000151729"
"640","ENSG00000105393"
"641","ENSG00000176907"
"642","ENSG00000089009"
"643","ENSG00000110060"
"644","ENSG00000183255"
"645","ENSG00000172269"
"646","ENSG00000173660"
"647","ENSG00000120509"
"648","ENSG00000086289"
"649","ENSG00000124659"
"650","ENSG00000131459"
"651","ENSG00000116685"
"652","ENSG00000136247"
"653","ENSG00000277791"
"654","ENSG00000092020"
"655","ENSG00000006007"
"656","ENSG00000198034"
"657","ENSG00000158292"
"658","ENSG00000277443"
"659","ENSG00000185129"
"660","ENSG00000132341"
"661","ENSG00000130508"
"662","ENSG00000188215"
"663","ENSG00000271204"
"664","ENSG00000125378"
"665","ENSG00000256269"
"666","ENSG00000164924"
"667","ENSG00000159479"
"668","ENSG00000182253"
"669","ENSG00000067225"
"670","ENSG00000113916"
"671","ENSG00000173545"
"672","ENSG00000168899"
"673","ENSG00000197061"
"674","ENSG00000139531"
"675","ENSG00000131143"
"676","ENSG00000113296"
"677","ENSG00000076242"
"678","ENSG00000184208"
"679","ENSG00000254473"
"680","ENSG00000148218"
"681","ENSG00000198843"
"682","ENSG00000166189"
"683","ENSG00000169241"
"684","ENSG00000104343"
"685","ENSG00000167272"
"686","ENSG00000170445"
"687","ENSG00000111077"
"688","ENSG00000180011"
"689","ENSG00000214160"
"690","ENSG00000100196"
"691","ENSG00000236031"
"692","ENSG00000126814"
"693","ENSG00000042445"
"694","ENSG00000131652"
"695","ENSG00000170653"
"696","ENSG00000173207"
"697","ENSG00000164631"
"698","ENSG00000124193"
"699","ENSG00000178163"
"700","ENSG00000168256"
"701","ENSG00000089127"
"702","ENSG00000148337"
"703","ENSG00000167705"
"704","ENSG00000125740"
"705","ENSG00000196922"
"706","ENSG00000140391"
"707","ENSG00000158156"
"708","ENSG00000132603"
"709","ENSG00000145425"
"710","ENSG00000152518"
"711","ENSG00000109519"
"712","ENSG00000159423"
"713","ENSG00000214114"
"714","ENSG00000245060"
"715","ENSG00000137693"
"716","ENSG00000135679"
"717","ENSG00000171130"
"718","ENSG00000004142"
"719","ENSG00000088832"
"720","ENSG00000064205"
"721","ENSG00000168066"
"722","ENSG00000167676"
"723","ENSG00000213699"
"724","ENSG00000131149"
"725","ENSG00000100353"
"726","ENSG00000165168"
"727","ENSG00000145632"
"728","ENSG00000108298"
"729","ENSG00000184076"
"730","ENSG00000125841"
"731","ENSG00000167671"
"732","ENSG00000118596"
"733","ENSG00000221821"
"734","ENSG00000213523"
"735","ENSG00000142541"
"736","ENSG00000133639"
"737","ENSG00000141698"
"738","ENSG00000136819"
"739","ENSG00000183891"
"740","ENSG00000084090"
"741","ENSG00000154096"
"742","ENSG00000111652"
"743","ENSG00000144580"
"744","ENSG00000183258"
"745","ENSG00000167772"
"746","ENSG00000110321"
"747","ENSG00000151500"
"748","ENSG00000141295"
"749","ENSG00000163479"
"750","ENSG00000100577"
"751","ENSG00000163131"
"752","ENSG00000183828"
"753","ENSG00000108424"
"754","ENSG00000144043"
"755","ENSG00000081320"
"756","ENSG00000111348"
"757","ENSG00000090013"
"758","ENSG00000159199"
"759","ENSG00000147471"
"760","ENSG00000118096"
"761","ENSG00000100823"
"762","ENSG00000135940"
"763","ENSG00000132386"
"764","ENSG00000113721"
"765","ENSG00000128311"
"766","ENSG00000156261"
"767","ENSG00000062598"
"768","ENSG00000189043"
"769","ENSG00000103035"
"770","ENSG00000160862"
"771","ENSG00000187325"
"772","ENSG00000108829"
"773","ENSG00000148334"
"774","ENSG00000108387"
"775","ENSG00000178980"
"776","ENSG00000197769"
"777","ENSG00000259956"
"778","ENSG00000005102"
"779","ENSG00000084652"
"780","ENSG00000105135"
"781","ENSG00000136986"
"782","ENSG00000170899"
"783","ENSG00000101400"
"784","ENSG00000187840"
"785","ENSG00000108788"
"786","ENSG00000148344"
"787","ENSG00000183688"
"788","ENSG00000166946"
"789","ENSG00000172113"
"790","ENSG00000148444"
"791","ENSG00000257337"
"792","ENSG00000152778"
"793","ENSG00000006625"
"794","ENSG00000068001"
"795","ENSG00000167815"
"796","ENSG00000004799"
"797","ENSG00000146834"
"798","ENSG00000221988"
"799","ENSG00000144579"
"800","ENSG00000132481"
"801","ENSG00000145022"
"802","ENSG00000136870"
"803","ENSG00000124201"
"804","ENSG00000142864"
"805","ENSG00000205937"
"806","ENSG00000087077"
"807","ENSG00000160688"
"808","ENSG00000136450"
"809","ENSG00000157593"
"810","ENSG00000110719"
"811","ENSG00000181264"
"812","ENSG00000168522"
"813","ENSG00000111653"
"814","ENSG00000089693"
"815","ENSG00000126698"
"816","ENSG00000116489"
"817","ENSG00000204177"
"818","ENSG00000155287"
"819","ENSG00000132423"
"820","ENSG00000042286"
"821","ENSG00000175166"
"822","ENSG00000142252"
"823","ENSG00000105640"
"824","ENSG00000204851"
"825","ENSG00000005194"
"826","ENSG00000215251"
"827","ENSG00000066294"
"828","ENSG00000165457"
"829","ENSG00000271503"
"830","ENSG00000279204"
"831","ENSG00000141741"
"832","ENSG00000186300"
"833","ENSG00000074842"
"834","ENSG00000187474"
"835","ENSG00000114388"
"836","ENSG00000115289"
"837","ENSG00000162191"
"838","ENSG00000137507"
"839","ENSG00000189077"
"840","ENSG00000166140"
"841","ENSG00000037897"
"842","ENSG00000104904"
"843","ENSG00000172236"
"844","ENSG00000116096"
"845","ENSG00000137720"
"846","ENSG00000173546"
"847","ENSG00000268713"
"848","ENSG00000133112"
"849","ENSG00000213462"
"850","ENSG00000160753"
"851","ENSG00000173221"
"852","ENSG00000168710"
"853","ENSG00000102393"
"854","ENSG00000122034"
