"","Adip_1","Adip_2","Macrophages","Mast","Pre_Ad","Stem","Vascular"
"ACTN4",9833.25238143612,3216.7717264647,751.339773505645,225.430291412928,3114.84081679282,1569.95406576379,4793.80255309928
"CAPN12",446.110217148896,119.672633652384,72.2849675750283,40.89356935287,593.548672161706,65.2508222774041,184.631932883718
"LGALS4",182.757792305046,214.99567068421,49.1061659485498,14.257755446405,303.480638841947,46.1476169680361,173.187966067644
"ECH1",17963.1240230931,6115.47749776556,1309.11571616821,206.244217985268,2638.86768501849,4275.74188572111,5230.59293795181
"AC104534.1",0.531523564526062,1.58523222685497,10.8321426373706,2.99416433148947e-16,36.3977572617623,23.4076558509231,12.6886865328118
"HNRNPL",2176.55530968972,1917.21908521829,498.243923550735,76.1563599836918,991.835002934492,1102.80207131648,1525.25189687513
"AC008982.2",81.5285698950585,36.1958110323018,5.33710476760353,17.8082732589831,82.3865319229254,9.68360686143732,12.1326853675158
"RINL",405.955106994082,195.751699183396,30.17481901324,11.7953730165385,54.312102756482,67.1153459255382,118.482895338859
"SIRT2",4703.54539541055,2397.98361586663,545.380174583013,91.3723530379726,1231.14295362506,1571.57044770246,2381.65407750153
"NFKBIB",769.04818491735,235.478744971952,69.6083810326161,5.54606305884873,281.405368218697,104.775014104299,240.60651262418
"MRPS12",3581.43987286022,911.534929009573,411.32681010749,28.8245493820942,414.693909034877,653.102703885594,1154.79965535058
"ERVK9-11",25.8818266124145,54.0956275018793,0.429948916739007,0,7.94631114974735,1.21997803970171,0.14252590605721
"FBXO17",4012.61332310226,2630.62308547595,280.624805115637,101.49092071011,1306.20120358842,997.864541036237,1416.76219136225
"FBXO27",2185.21852133881,1769.77741418995,300.198176611574,49.7424658079202,1545.58044029593,485.354704315102,865.371833313684
"ACP7",384.37972996119,84.4462519950898,67.3108366403868,20.4748396646014,683.567627613731,81.4907320197402,130.864374287289
"PAK4",1068.52472096079,512.188665357347,250.938142024472,73.4680807030092,953.771719666208,247.962091019132,489.755477250917
"GMFG",3560.89083353367,667.478781778825,906.527635391357,41.2142780396331,1221.1347451825,590.550362876938,4727.03196540204
"AC011445.2",131.545864133074,169.346995974292,44.1406731454919,1.21740703330457,28.786326813906,43.9959835026803,29.3843110677726
"SAMD4B",3238.41143518087,2039.80419987623,425.348895360458,129.781017961649,1612.10585036482,1457.46133358506,1453.59216087479
"PAF1",1402.9630081602,299.373899548732,111.482919500676,69.2272353629859,255.181768501125,660.393023174179,1057.6256355956
"MED29",2493.76529005079,1141.92051114035,169.221717368739,60.5123402510761,661.100921552628,1263.68228922061,1037.30745397588
"ZFP36",722.750679595444,708.340335642064,263.937821713157,28.1079085344154,215.264628574536,861.643103516872,416.979690266004
"PLEKHG2",555.847743379786,486.477668003922,90.7272089668791,21.4216834088421,349.491841782533,192.502138183645,626.411991534915
"RPS16",33414.1390480491,8561.40405509384,2934.71647157534,282.862525258029,7804.46856739361,9812.20573548774,16539.2704781024
"SUPT5H",5310.46118458328,2112.3487212005,656.572626780334,100.677226287191,1965.54364148483,1152.11844193867,2657.72760889733
"TIMM50",2633.71610016704,1131.7009944822,283.306708530911,41.2561541145735,615.748346913643,944.159757873016,1254.75028411712
"EID2B",244.046460968325,83.8399503610326,11.2698042670366,0.734450801707336,44.0681186831647,63.5259037563778,84.2302069129049
"EID2",405.751677940874,361.020734469787,43.8272636053239,0.0541994861751278,172.538023079186,339.139194856336,383.713783014277
"DYRK1B",417.262881195952,183.664890754865,57.7306854394357,15.7816483848413,155.918256503113,98.0398674676032,235.336745700021
"FBL",3741.11343017604,842.204194173191,373.992406491229,45.2813637425533,796.798384170729,1215.65058749897,2050.28886772706
"FCGBP",1824.0277710504,526.369342409858,1842.65390929238,62.7085455352622,1262.25230279295,450.190925463027,501.790209109096
"PRR13P5",12.5082560579326,1.97068390126228,0,0,0.984608658811369,3.1694957739485e-15,0.869332038442816
"PSMC4",3683.30369303234,1015.47017490072,535.04046925334,21.4335668967404,776.349787509422,1496.09162950983,1823.27371331708
"ZNF546",1022.09089325509,2072.70847173319,515.055984210134,71.222155565111,1072.08496691665,419.670424105627,534.941556469758
"ZNF780B",694.769812649916,1827.86049668501,262.250895122043,217.379340764678,1086.59075182988,395.904679858978,488.157739138081
"AC005614.2",225.415716448287,621.720138807125,114.920645835331,34.6621065826888,419.705114025338,109.266477858848,167.615268409901
"ZNF780A",308.649890968325,705.984806859879,115.403757438369,23.2227014394223,256.372426837992,341.617479374302,279.266432263357
"MAP3K10",632.617728177673,236.148594816698,65.4193517868484,28.0102412062115,456.03157081041,84.9967704686057,280.391919596974
"TTC9B",3.14805772716611e-14,0.0741561368307232,0,0,0.146788875248699,30.6325856548901,5.94796808167655e-15
"CNTD2",32.184137421021,11.011576403828,0.424207949308456,18.2040722087867,15.5052295055478,0.285096214277659,9.65679705113948
"AKT2",8647.8156190995,7888.76789728069,731.772657537562,216.928952437308,2369.87654459764,1994.01092074628,3153.45119821969
"C19orf47",779.166919312253,175.179768968771,61.1489727301288,43.7758039953238,610.559075397528,142.991115634006,376.04378724275
"PLD3",8078.92001666803,2166.04496298071,2806.44294706442,102.444228629471,1856.38540870517,2534.82298575203,1868.34642378043
"AC118344.2",62.0563194087591,56.4833535945994,21.262392295301,8.66236637172661,114.529423619561,97.4907939580644,35.1920853591207
"PRX",411.035823363678,64.4456833521185,42.7188134768753,13.3660134556113,253.79733142663,95.7647731223235,217.352369613177
"SERTAD1",711.824225858553,311.89093383074,93.2728290232081,7.81197970107446,284.108312656009,280.233678103499,511.967789603453
"SERTAD3",686.525279763702,133.680968327743,40.372093682857,4.02059862347399,110.863540979087,245.429245146533,64.7846006316057
"BLVRB",14160.7122626543,4614.78402610503,1737.66008158262,164.497489391472,2939.86838191131,3982.70222459056,3938.09920754151
"SPTBN4",1884.33133222019,1194.44101440695,253.502385920655,107.256990940044,2033.53722016887,298.045464240821,596.962376054525
"SHKBP1",1285.34841820564,315.678176214115,306.409957540621,44.5211841041388,606.522367085307,235.992247653784,792.116178477087
"LTBP4",1718.06109983847,387.318814773028,58.8478671809298,22.3199822216866,509.295758684316,1589.79700636165,424.794410320192
